C5	C8	C9	C10	C12	C13	C16	AD1	AD5	AD6	AD7	AD9	AD10	AD11	AD12	AD13	AD14	AD15
A0AVT1	-0.772176356404971	-0.693201810516452	-0.567719166768497	-0.526580135111738	-0.432166990795701	-1.0672064794066	-1.03840339600892	-0.372160164755907	-0.839698272909705	-0.680503373305002	-1.00329778600952	-0.805998295056904	-1.12239820896915	-0.720274351066872	-0.750375417839082	-0.696888963994914	-0.791712554905584	-1.02676963343779
A0MZ66	0.042669835034477	0.0156513753160167	0.195304050640575	0.117203037844152	0.078996486096386	0.55826431184653	-0.235373077515007	0.0951038259652378	-0.34008940655615	-0.214223648640407	-0.107457367600876	0.236743943447924	-0.363313312781368	0.0220921297720775	0.143243556155637	0.042052008584201	-0.199815307826874	-0.0910615267807786
A5YM72	-0.299106827100521	-0.652498794714805	0.304787141458144	0.367642884394614	1.97482032606088	NA	-1.11885744099983	1.80480551763897	1.90207495189271	-0.272756153775374	0.0751393260868186	0.377525978034908	-0.837900932099045	-0.513491549655834	0.1964929370875	1.87028192651172	-0.327710308410832	-0.614289992112426
A6NCE7	1.36778296892644	-0.101903385847009	1.35263792583978	0.838954681516318	1.30511209172026	1.11928333463234	0.361814459875202	1.41694136121505	0.655388084492832	1.38856875394285	1.32022767701676	1.47765780951242	1.3660157214598	1.37234836889385	1.44818481762473	1.34797852169206	1.37005678155506	1.31472272608927
A6NDG6	-0.451401199418763	-1.17846923990259	-0.346793641474545	-0.227174621426559	-0.239220080317723	-0.672978669939173	-0.672061757538572	-0.53151443596676	-0.506121848055924	-0.214223648640407	-0.325509394450328	-0.302580953505796	-0.363313312781368	-0.256545313770912	-0.211842372710937	-0.172144129781831	-0.171325317166709	-0.320518248408982
A6NGN9	-1.20547764353461	-0.782331599871804	-1.33477140787245	-1.35643961588826	NA	-0.835514708301094	-1.03840339600892	-1.66297725979389	-1.01433749956669	-0.866593725508247	-1.10743545343274	-1.44701819115052	-0.957278116693763	-1.08999624280439	-1.26607180408871	-1.10458382124822	-1.01554388252381	-1.02676963343779
A6NHL2	1.50203677377225	-1.13044370291707	1.32105602220594	0.520347145658086	0.736833703626705	0.39219777722604	-0.433986554218458	1.48796693326015	NA	0.922289029278259	0.701220484795367	0.96744397383671	1.01626097460543	1.32690983342591	1.22380959530237	1.45582708211196	1.28066903261363	0.705185007244434
A6NKN8	-1.64096914669094	-0.418568121510524	-2.83621025370525	-1.03482788721348	-0.614551557933302	-1.56984732687329	-0.37872568822041	-1.92437754326167	-1.57770782011461	-1.56964779519085	-1.08726805649643	NA	-2.28961400573285	NA	-1.55031815302979	-1.95283714820778	-3.00152357226921	-2.72327157422811
E9PAV3	0.138955281972067	-0.390638702200533	0.0438144598066069	0.117203037844152	0.063924055376886	-0.0950827703224829	-0.327562117701567	0.0586560609212489	0.0993011123817578	-0.110526571652156	0.204208148408948	0.192588453062599	0.093939577990059	0.0642151948244381	0.291953298299101	0.204260757431799	0.234430318036663	0.0413428671311411
O00139	-0.0694661864593404	0.0309661356834662	0.0647049850010596	-0.116514089908234	-0.0706647647845748	0.0833121219579137	0.015174067123312	0.637813859929931	0.0837292799581602	-0.0207000777511872	-0.181227782121557	-0.159604002456704	0.0391355202893015	0.0111366104574349	-0.0231554764737552	0.042052008584201	-0.06813473406319	-0.0440119447228881
