C1	C2	C3	C4	C5	AD1	AD2	AD3	AD4	AD5
A0A075B6S2	-2.52065335744447	-3.40490140934682	1.08671782190745	1.53631714677212	4.21827141992716	-2.67024377727787	-1.54232648927483	1.56656060189762	0.39719085680205	-0.610260702702708
A0A0C4DH68	-3.53804321766709	-3.18977597208959	2.49747111692468	-0.0668096937627796	3.00488926378508	-1.9396648094959	0.261574737602725	1.2738206795307	0.994949024756025	-2.31961394344294
A0AVT1	0.186046611162966	0.253097753115456	-0.734513371598015	-0.554279960378147	-0.0721265843935984	0.255041302167476	0.749294330649816	-0.0941486526663298	0.39719085680205	0.282598463808927
A0FGR8-2	3.15193912489904	1.12254948062467	0.374803280232	-1.08034597735541	-0.218591560643475	-0.609158357025656	-0.685342654176173	2.24883464741518	-2.12771767366692	-1.66628895647735
A0FGR8-6	1.45464461428165	1.88864545653883	0	0.13163813474903	0.877099086992227	-1.57396959531001	-0.934746629139543	-0.807871984524255	-1.61554894775854	-0.740426170462501
A0JNW5	0.542412653004764	0.314851004293489	-0.148337531691429	-0.626931050452223	-0.0721265843935984	0.353672714642438	0.158471201558837	0	0	-0.17642337119679
A0M8Q6	-1.64506086028991	-1.0487615493849	0.638112762354062	-0.411317276766784	3.5063114492405	-0.727965966089635	-0.624763267923013	-0.0310653381223495	1.13777370060762	-0.610260702702708
A0MZ66	0.542412653004764	0.556118936492408	-0.249800349716614	0.511599180855044	0.618457230820865	-0.609158357025656	-0.44702703609245	-0.22431420636574	0.47435539389273	-0.740426170462501
A0PK00	0.124640087594598	1.59302893892301	0.508237356085171	-0.134297670121373	-1.60139744784194	0.304589633111472	0.261574737602725	0.150809183798599	0.161209182969487	-0.297096893285358
A1A4G5	-1.0229134399904	0.788690611328404	1.24011756238012	0.324333034667679	0.418168843368809	-0.727965966089635	-1.06393887184796	-0.767987881147014	2.26014380586978	-2.67616461903696
A1A4S6	0	0.673452450760717	0	-0.849773433219509	-1.33720069083763	0.545522128396283	0.607579860135285	0.563551396824624	-1.13370431901264	0.95867941516918
A1A5C7	0.65685432830908	0.957778856952697	0.419688751050701	0.0661449096655705	0.212129771136522	-0.492991136842998	-0.685342654176173	-0.575940091265395	0.319287891871846	-0.941329069040456
A1IGU5	-0.127158238754987	-0.19655830698255	-0.353422112300877	1.26715047497323	0.281468810441963	0.45047751409046	-0.218855637951421	-0.728611869350621	-0.247962246578021	-0.0582127467966737
A1L0T0	0.65685432830908	-0.0648564806212379	-1.02621966367735	-0.482414302877147	-0.520806098179305	0.545522128396283	0.0533458992459881	0.0612094283846612	1.27813575896747	0.552047955906035
A1L390	-0.389451138176061	-0.130371413924317	-0.513109831838676	0.0661449096655705	0.0714088950346092	0.402299202752434	0.841731424696909	0.150809183798599	-0.857718644723408	0.80951787899326
A1X283	-0.127158238754987	-0.263431086793067	-0.406071696536697	0.0661449096655705	0.281468810441963	0.82070723112425	0.932601712671571	0.405005099786866	-1.51687140367959	0.552047955906035
A1XBS5	-0.322846085514782	-0.752012002971014	-0.301335636016126	1.04368376644127	0.748943275361175	-0.213389211058288	-0.108311131052837	1.06202722951962	-0.590783330133693	0.85966641348617
A1Z1Q3	-1.89519120763373	1.59302893892301	0.928328606339322	-0.340972614255718	-0.676823867505903	-2.09342029920417	-1.76118212722625	-0.767987881147014	1.20825723797063	-0.674977795552415
A2A3K4	1.30297176326512	-0.263431086793067	0.847159408898154	0.196492391352687	-0.0721265843935984	-0.159219713073981	-0.998953607817582	-0.502341968439963	0.550795370641936	-1.22052140540542
A2RRP1	0	0.496642335718228	0.237610007658491	-0.202477842927148	-0.444050984286838	0.20501881731353	-0.0538820479178867	-0.430455586001695	0.0810036306356563	-0.236445872593891
A2RTX5	0.65685432830908	0.3760189077907	-0.791473542669689	-0.554279960378147	0.552313585280861	-0.10560580947577	0.412604968306866	0.322574211425153	-0.678792811211413	0.282598463808927
A2RU67	0.246859825710634	-0.538075322372352	1.12552311972917	0.260720026984536	-0.676823867505903	-0.0525362188656747	-0.624763267923013	0.180107745579546	-0.857718644723408	0.909384483146542
