C1	C2	C3	C4	C5	C6	C7	C8	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8
A0AVT1	-0.336062891706666	-0.526580932751115	-0.264054955692581	-0.806679267254783	-0.537087734779872	-0.921511342674342	-0.469414113331042	-0.944058457102855	-0.758169364948749	-0.419944120857828	-0.479744353161983	-1.07089890477463	-0.809106565523478	-0.321131253436606	-0.53099631053082	-0.808768877250097
A0FGR8	-0.25795528783908	-1.09490647543005	-0.543135868657991	-0.618712440694409	-0.49831900329756	-0.816093521807286	-0.477860845042695	-0.442673321465114	-0.233095912642916	-0.32006902808322	-0.282864036510326	-0.166530080472336	-0.204153579984867	-0.28122664835601	-0.458001933326317	-0.313495997160517
A0MZ66	-0.441437701215541	0.0194459721492421	-0.176106918520073	-0.48818862927853	-0.844651910620883	-0.389063025876286	-0.571737073597969	-0.570199428505378	-0.881139293947009	-0.488033113561779	-1.04051682445309	-1.23772761122249	-1.17396305547581	-0.263781125712046	-0.716359772374611	-0.804736243678308
A1L0T0	-0.719699860945798	-0.994181883731869	-1.11287157101681	-1.16490546037843	-1.32482063761736	-0.842733449400258	-0.869975081335996	-1.03683880129719	-0.917250532289539	-0.214093352282906	-0.564134889093669	-0.338045797607061	-0.899322268881476	-0.468285718384163	-0.392492448136294	-0.586546222994916
A5A3E0	3.06370481886357	2.80498661435138	2.97340392742708	3.0292601109836	3.08972907471988	3.00766032181719	3.13172595849515	3.22486230376828	3.3511032646597	3.09304801083831	3.31286120906963	3.26631655320388	2.86137830923604	2.86425780234875	3.17757026864057	3.14708171901843
A5YM72	0.0395951840244142	0.377492583673359	0.324060853738321	-0.62685331325975	-0.280634061126276	-0.465872736068846	-1.08108334125946	-0.966012725104843	-0.544022128499733	-0.445433814294961	-0.956507524466287	-0.94967728899674	-0.788445275990015	-0.122248636263105	-1.1035100259994	-0.39956914422389
A6NDG6	-0.5246956567836	-0.551728900523945	-0.520832553647492	-0.292606469823016	-0.153702321520891	-0.392775612678519	-0.271510171145824	-0.147439879157191	-0.131810713023018	-0.360405053361574	-0.132568629803289	-0.444252427818695	-0.308356536105944	-0.0478362870161955	-0.580964616717576	-0.754557334012692
A6NHL2	2.40355204668426	2.24931381389182	2.65414942914607	2.53911721186454	2.33688723916648	2.40841257206831	2.39203204721143	2.34899122849608	2.34637827432151	2.41167407362259	2.29873798066722	2.14479189026131	1.4544058029038	1.17154566432876	2.3339065321233	2.37950829482371
O00139	0.0306907789803339	-0.0139638392295773	-0.176106918520073	-0.0434966122518475	-0.0668698496533165	-0.114880754370757	-0.17145804376954	-0.164890508806825	0.463329929115861	-0.273860996186188	-0.0799486326081213	-0.289321818511303	-0.165378181584052	-0.152695338388894	-0.215716167366974	-0.00666358984823628
O00154	1.20906145670451	1.43913801493049	0.854553110410713	1.17871606023644	0.911893246650201	1.26602626273694	0.97190752200888	0.941191288845672	1.17067451861663	1.09091302608336	1.33502145355037	1.14798867185545	1.24279245897853	1.22053198959504	0.953892763044669	1.23894822983658
O00186	-0.558878880112976	-0.342308355757107	-0.694051873441234	-1.12525834241848	-1.04602580358833	-1.07689334356444	-1.15820122995701	-0.890297347692291	-0.806816772329164	-0.881187476964575	-1.07859814814157	-0.804796006192959	-0.752249604190896	-0.565579090364241	-0.741999625908087	-0.777215820553445
O00194	-1.54067659929532	-1.80561125531653	-1.05968815941582	-1.14157156090471	-1.36677300936215	-0.882926809280044	-0.66480333120969	-0.774629810869896	-0.847007773137065	-0.543788984729227	-0.199755780448938	-0.398794168838495	-0.688465543239021	-0.919134252144781	-0.637635142582612	-0.477690620215518
O00213	-0.705647935597517	-1.47342513382586	-1.26335762731774	-1.16821813610309	-0.992679950727742	-0.862499532200579	-1.18332248498336	-0.729979175233678	-1.12234117712339	-1.10851912013546	-0.970552773758925	-1.10678731512617	-2.26981915215555	-1.18798470226755	-1.2623976455291	-0.877115659035334
O00217	0.712624602049423	0.504767501851404	0.49051470166285	0.838150809935044	0.470648510316721	0.619225471292595	0.484080409901825	0.529553046372726	0.458246273359413	0.220909671911636	0.446561880064101	0.0953527986447434	0.170825591338039	0.420869013713831	0.31564005765566	0.454635053474721
O00231	0.107247475293695	0.00655759290974756	0.107856142269593	0.0173243778164945	0.0851886419859572	-0.195587681176749	-0.109521410384223	-0.21210017726672	-0.084908510648985	-0.14322338805074	-0.00572639784840166	-0.174846443731384	0.0319039551720819	0.0610078776887423	0.0811644083085114	-0.0813044948451657
O00232	-0.662160910329875	-0.305926064923951	-0.429581228722458	-0.540405267294725	-0.358761097407737	-0.445238386580989	-0.477860845042695	-0.587182871925532	-0.421613057646924	-0.399464797013267	-0.389763847781137	-0.258289108271964	-0.329167381302586	-0.331532664773544	-0.518578711889449	-0.397474891120152
O00264	0.25243995715738	0.464429452292138	0.396846338259578	0.247659674140317	0.34567761223741	0.480278702983204	0.553121404145998	0.562517085961539	0.458246273359413	0.655159363413744	0.735863670718503	0.440992946344231	0.497506221836959	0.487629646131044	0.736259094282012	0.60526884190041
O00299	-1.07510638585283	-0.957146064174071	-0.255187038972362	-0.880730643135559	-0.988051141008552	-0.948658863022579	-0.0920770604821735	-0.0854107937484356	0.320559692461299	-0.35100787318425	-0.834618266199344	0.0047349627428209	-0.604785556735466	-0.27164860360313	0.14741670682928	-0.494563132856872
O00303	-0.609736904597859	-0.340101457103891	-0.72397707075099	-0.83676931229787	-0.651532919886314	-0.534665083835256	-0.682247681111739	-0.774629810869896	-0.818604083956266	-0.788629767981192	-0.790274484271347	-0.533937229883561	-1.26920819635492	-0.575965620552895	-0.61340928219781	-0.729123610314288
O00330	0.0326811787853438	-0.18692080912305	-0.141604890497564	0.191868073348117	0.122221175529101	0.150211277182447	0.240602536339171	0.070050100439821	0.0437105056807658	0.041306128106708	0.181502077996087	0.0998731655184254	0.132284068296019	-0.354701937315213	-0.0119533617888051	-0.00890071868534653
O00401	-0.763982099742691	-0.778565578024409	-0.411052977247651	-0.412579548916827	-0.539314559561218	-0.41941554027149	-0.591820685149621	-0.397338680334138	-0.806816772329164	-0.770192679793835	-0.600218924015521	-0.538900704322308	-0.614975521359871	-0.765039776671791	-1.02648636888923	-0.886211290818386
O00408	-0.0869607882479543	-0.393202342691715	-0.665543795983284	-0.0310423543569863	0.0457945180589557	0.0211608731415105	-0.0361634146413251	1.32553196897633	-0.097240485346124	-0.173426821469638	0.101830712380535	0.0015824393999342	0.162710870321685	-0.256014645194278	-0.135450849290755	-0.0446445266724514
O00410	0.251069101761025	0.275248784385513	0.346510934972843	0.0125612607870686	0.112198171380762	0.252822739613417	0.155597493974917	0.366479768380151	0.235399323293616	0.25667592990921	0.403943883068721	0.537780496626874	0.163452929634701	0.384506108153026	0.257464857599194	0.341680170899296
O00429	0.567441434983475	0.610806301198397	0.495595918835012	0.393273785193833	0.420823913572723	0.502170604123593	0.406455382324964	0.612679346044437	0.488143744406088	0.447386048593548	0.729275642079891	0.807136647288488	0.718843637690845	0.469294893804261	0.530809421880021	0.566451048386594
O00468	-0.606793492098431	-1.15394454800081	-0.977781055547985	-1.48408110244813	-1.01635883266561	-1.04357315445478	-1.13954167610568	-0.794771662420204	-0.474085712407572	-0.533730215767571	-1.07301703739877	-1.89213750136129	-0.718030885212034	-1.10342865388561	-0.473093754365213	-1.53898463066276
O00487	-0.310636984839905	-0.769002130049641	-0.207804798155157	-0.32169844857805	-0.0731328411853949	-0.283916093746525	-0.0574982036626146	-0.142540897014772	-0.0898120349751999	-0.0140307547892839	-0.321101088996481	0.247679406393742	-0.0126400262786427	0.0736690383203201	-0.0908806736473111	-0.241128369630672
O00499	1.22111948535655	1.54630210060471	1.80090469978807	1.11952394697981	1.29031290727963	1.26970899941339	1.06316162344877	1.30965549953715	1.30211119441455	1.37042079426612	1.33373696443833	1.4420312879846	1.40219422642364	1.44948623153278	1.02738889487383	1.30216773304774
