C1	C2	C3	C4	C5	AD1	AD2	AD3	AD4	AD5
A0AVT1	-0.165811683773181	-0.321814299298989	-0.879116209182309	0.180175815055249	-0.26687129972235	0.214673714346373	0.151295171875266	-0.625662136463032	0.802658223462198	-0.231779307553515
A0FGR8	0.279246493000991	-0.217938206803759	0.310429382123057	0.286127386858821	NA	0.214673714346373	-0.929156610855707	0.262793821676862	0.197261888092172	-0.610622276659262
A0MZ66	-0.538585419227388	-0.375557511248895	-0.681570268573767	0.114224125169482	-0.21120016556081	0.0247868598999209	0.0660980401831738	-0.379794152641254	0.94332444900495	1.15508780495463
A1L0T0	-0.0695941058593815	2.31231413968848	-0.32993673823921	1.02601183945567	1.22195390431643	-0.318440453579612	1.06493306605167	0.480010017585135	1.52867027901506	1.62863167124417
A5A3E0	-1.28434607220749	-1.60176190468844	-2.1123553666069	-0.493325363146071	-1.60810516798075	-0.127774615794289	-1.73643812466652	-1.00846123771563	-0.318772716608552	-0.642333873423458
A5YM72	-0.949382081191492	0.156349255522494	-0.745606026317115	2.49262642505535	0.375938172126526	0.820315019208007	0.87666656651244	0.025056392179791	1.84603393848789	NA
A6NCE7	0.0896126553666967	-0.142985021496857	0.603292946578002	0.837362431299737	0.397680233857172	0.515684482209357	-0.829755614678321	0.500735621310593	0.35938366049045	0.448076129052465
A6NDG6	-0.371328098057037	-0.430580442991484	-0.681570268573767	-1.23525692936474	-0.502663256891693	0.495349194858787	0.0442817284698919	-1.12381636683769	-0.65850807410043	-1.17482778779199
A6NGB9	0.397453705143697	NA	2.42236906686122	1.38905537612187	1.22195390431643	1.30712965469504	4.33854050681629	0.581973203027847	0.866246013634858	1.21577273141228
A6NHL2	8.14286610665595	7.55813077224947	6.72628452090945	7.2140782416669	7.7224085813544	7.1666486621949	6.53182597381951	7.19445763988198	7.10951734681261	7.81452426793333
A8MWD9	-0.34460463751317	-0.824223705413366	-0.948802962579887	-0.353096016968509	NA	-0.783962991427338	-0.416661671402409	-0.72442564340982	NA	-0.314165166627045
C9J069	-0.814941551526669	-0.458591136936772	NA	-0.169897438205295	0.544863064735559	-0.207708496280223	0.637704093322922	-1.0463288180361	-1.13145082743289	NA
O00139	-0.240730849079737	0.090633340170105	0	-0.071308969492592	0.147591335780374	-0.154135273072148	0.0442817284698919	-0.321903174626277	-0.345235592204061	-0.370664543420682
O00142	-2.27169725268661	-1.25878494862542	-1.78878350381702	NA	-1.13041606131244	-0.555863722082678	0.0660980401831738	-1.37170290518638	NA	-1.70348866579681
O00154	0.0227348127517401	0.440495812206135	0.566273774583757	0.577931575369959	-0.0771511817231041	0.710397532691369	0.370115809023204	0.329948378394485	0.133378302449088	0.567983551308517
O00170	1.18535553481656	1.68125857773014	0.896583582472554	1.41478234014671	-1.51428204785853	0.191714483924511	0.388986420704177	1.88026974421911	0.897389531393105	1.88122498321831
O00186	-0.915023090409029	-0.891209669688396	-1.5952736439202	0.327200899434398	-0.502663256891693	-0.180777867859995	-0.471204722083289	-0.155811339815869	0.197261888092172	0.166278885712508
O00192	-1.36595581280732	-0.925445169292044	-3.10204475012426	-0.464599479232637	NA	-2.0451108837487	-3.01226441401095	-1.12381636683769	-1.28669764874121	NA
