C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9	AD10
A0A024R4E5	-1.16256019834757	0.214354279512648	0.207275917858412	0.0555084425585741	0.481252769487273	0.228273606947057	0.47541013155024	-0.177951899963948	0.156313830380763	0.0437479816837585	0.0301018451428596	0.20926105157899	-0.302641434232458	-0.45826625481569	-0.0464759990450827	0.16845600475928	-0.378156124656601	0.0089324264287022	0.342281331116006	-0.824246024942246
A0A024R571	-0.228441882203553	-0.164927992640724	-0.242039824561615	-0.320086828477587	-0.0281826232633113	-0.303715325149869	-0.45569180895042	0.122174486413094	-0.199875750947884	-0.236508664255172	-0.131490864559103	-0.0962267050404044	0.862920090134961	-0.103110590147023	-0.0600223639794278	-0.134528659882766	0.146093986237276	0.0410992718665962	0.35137536545663	0.40364731120598
A0A075B6E5	0.454239191436257	0.178537145550519	-0.528106600907223	0.515171206934952	0.313402550578215	-1.01556344736141	-0.127165178707513	0.687377244731851	-3.93700649055381	-3.91854414771299	-0.81934175136528	0.497744434928853	0.34854285496969	0.0728497983773608	0.246285861371476	-0.383951692615319	-0.723114921463391	1.43271712139826	-2.33840011702429	NA
A0A075B6F9	-0.377001999169232	-0.419591259859394	-0.537663348132905	-0.963616481325969	0.431289727751329	0.197389665248447	-0.270042373343944	0.77394560958106	-1.73312879105255	-1.10964657160607	0.657248573071495	1.03433704972323	-1.00748994842768	-0.87160918627189	1.55448364324517	1.33084093042334	-0.465762001682858	1.59322602098163	0.82304129907182	0.35056702575737
A0A075B6G3	-0.305205540218385	-0.708512493573008	0.358379977840805	-0.00715249659251694	0.45271156173552	-0.090126397599105	0.279112149433896	-0.185677287677482	-0.291062299605737	0.237039658617664	0.797069516587997	0.77817137909012	0.210118098759817	-0.0124489082137256	0.855473874234177	0.535185874207121	0.201979537035946	0.261811650689483	0.0757439181285924	-0.186070001594778
A0A075B6K9	-2.95258061348937	-1.83112869337477	-1.60747494491957	-1.30234678570349	-2.27152330292265	1.44438294951751	-1.40361932385872	4.04053602750671	0.286415946758463	-1.67063353536065	-2.85817622753703	-0.428834658137534	3.31288778421083	1.36594114466564	0.314219918271357	-0.927399465126406	-0.569433827883027	0.799465565867824	-0.317998965599146	2.57670409197813
A0A075B6S2	-4.36077246221647	-2.87411136619659	NA	NA	-0.680235880371694	1.48938943240698	-0.0754799181424742	0.724213941014247	1.93011624474223	-4.12241211728049	-7.78235114456004	-1.26555391144832	NA	NA	0.647923905087598	-1.54703822373408	-0.0382014571948073	-0.581483262020009	1.16718318129402	3.27219817775687
A0A075B738	-0.700763538883802	-0.800337106697781	-0.0127611491960303	-0.183872345513025	1.37958426565594	1.14221671040085	0.124406208720993	0.247061063613347	-0.0101694349492189	-1.01360728225118	0.288179543813594	0.317278265788236	0.379396037842145	1.14770385647895	1.11301486704331	0.765837575594457	-0.30421305558941	0.236512343041564	0.135392317928912	-0.0826209403043605
A0A075B746	1.43068281610619	3.26838374271674	1.47528857003513	2.37381894489588	0.668089116825162	2.64793626194177	-1.28884695588006	-2.674523948112	NA	NA	0.240708053080535	1.65060610336442	-0.819826383040427	2.08958969759097	1.82368785996463	0.448916223088927	-1.10558439604574	-1.74831083948661	NA	NA
A0A075B749	-6.34450646188877	-3.66809394934425	-0.288643679069185	-0.174919062299016	1.27625234990892	-0.269920912614158	-2.58480030410625	9.37308927312996	-2.18096458438536	4.42387599512558	-4.05174206067002	1.58872964474151	0.238331585912756	0.223123501875235	1.77713477235107	-1.71483560897094	0.176185360739613	-1.12861637274939	-3.50741727297376	1.92886390537365
