C1	C2	C3	C4	C5	C6	C7	C8	C9	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9
A0AVT1	-0.867696103131063	-0.676322315368144	0.102389124237545	0.618199669810024	-0.0214423858551802	-0.161647202874864	-0.620714175565976	-0.367997612978347	-1.4578235351952	-0.385713928400539	-0.522723842710367	0.493626827226167	0.15277165055314	1.03668266548926	0.121472558916833	1.56941674062659	0.891266141878144	-0.0937496716926073
A0FGR8	0.253038300862072	-0.763332977254212	-1.07883580824534	-0.786042739840556	-0.938495680106175	-0.981123975571655	-0.535377361052306	-0.192921375215967	-1.01884537383511	-1.14775124914964	-0.610215007526304	-0.203261149315709	-1.2515556255694	-1.37435724351693	-1.36720876733731	-0.965041391934238	-0.805551599290492	-0.608107973123683
A0MZ66	-0.149005671099671	-1.14787082192135	0.326342979194884	1.34398982904661	-0.275190994113881	-0.421859518842069	-0.482039709169796	-0.066939412116683	0.798232216504622	0.111802391326073	-0.325271107645283	1.20244780474233	0.23727152598636	2.26965323754336	0.910979137133368	2.5351595011225	1.44908830868488	1.38639303358814
A1L0T0	0.0104215578765785	-0.0731961745631832	0.237222900364041	0.309283515601239	0.313660312912127	-0.435990350907951	0.174657210384364	-0.0450491374538414	-0.429705840565754	-0.151734163841644	-0.115922364384957	0.059071409297802	-0.749251596470038	-0.274032048752661	-0.529595619882438	-0.341829142376048	-0.257722438878343	-0.109699673066348
A1Z1Q3	0.547700062326052	-0.020550654803075	-0.337622449704226	1.10226519861044	0.692409785329774	0.246192199038659	-0.465029103184902	-0.178916146887892	0.453238135944759	-0.359710744595536	-0.189819452791575	0.223551922865975	0.0939270046868683	0.536334859116058	-0.505448036686671	-0.401490343611431	-0.132968734009722	0.0663855824866688
A5YM72	0.671379129867174	0.151470786927795	-0.608240140899316	2.27951863680663	-0.300717497308778	-0.631084117068521	-0.674982815608615	-0.344952328494081	0.516718262898648	0.431980286608908	0.429549119685511	0.698497684887366	-0.00683958442070478	2.45015472406944	0.75280894904556	3.47878967165675	2.72439940733755	1.35324287592275
A6NDG6	-0.222270914544543	1.28923859713821	-0.0556610483887183	0.11753638802626	0.219406157008232	0.810666189075091	-0.55845222898808	-0.436321788564362	-0.494428693119996	0.365368815956777	0.817069821249828	0.140898343362901	-0.278571728274978	0.481888726252743	0.51814514224883	-0.632200071537263	1.3988794062164	0.703332037422106
A6NGB9	1.04111648645643	0.792165809611084	-0.97702974429414	0.6744333389447	0.437771620153785	1.0527990475388	3.06406265292236	0.535375650182463	1.26675524134958	-0.929959785270986	0.783284735474242	-1.02786711610488	-0.44124296169973	0.319810185101353	1.95415007645816	-1.25351660576829	1.85364646207842	-1.18686446167864
A6NGN9	-0.706139445016725	-0.374565438865139	-1.00518730861611	-0.0994098741064829	-0.909179396852852	1.11408024537006	-3.97863212292082	-2.25744782551087	-2.29844953316605	-1.65059859669743	1.49253524072023	0.318032446028033	-1.15016996622941	-0.501945038669649	-0.112722748985357	0.259457787870374	0.218152275293502	-1.3129990514212
A6NKN8	-1.45178258666283	0.119340523491808	-1.10616916306106	1.81654391858944	-1.19205890237389	0.146184740789146	-1.58395972512172	-0.550945045906508	-0.569133831533181	0.334207169238704	0.424804415729362	-1.62878691396828	-0.930678687790963	-1.5517466346809	0.601690824167681	-2.13620313216032	-2.30590760834106	-0.0815300574354863
A6NL28	0.975187754694629	1.10549367015649	-1.33086840553966	-1.51385864704496	-2.74634663186881	-1.04423477401929	-0.713790713328785	0.799452532723669	0.703869122943597	-0.479959149908515	-1.04249801560825	-0.971290379061122	-2.56286599549767	-1.31219311070292	-1.26464575681111	-0.673077147410806	-0.639240651146901	-0.547821608471477
A8MSI8	-0.402350432228907	0.858181725191861	1.91324924528078	-1.68617069226015	0.646885014701245	0.649438441332957	0.669507872162612	0.314571781143752	-1.91040484306168	2.29887930597572	0.291605143291759	1.97928131737829	1.43674105702032	0.452216828568352	1.70445965749478	0.207496845721122	-1.14700988740929	-0.652424039525257
A8MVW0	0.930797337177878	0.822217236048474	-0.507768941654697	-0.495173211193289	0.498927114062058	-0.153992263136834	-1.36069333294707	0.409981860546048	-1.76896907596162	0.428497664131971	0.719769224853714	-1.17503440864078	0.585829691402184	-1.97374589506919	-0.398909849497113	-1.4863077750149	-0.413893353335011	-1.40071684237413
B9A064	-1.24024570744397	1.04488413128694	0.488709167633641	1.35524693430268	2.39004429756773	2.19168329734084	1.85293644581212	1.58267751983968	1.9212815357838	-2.28432517039387	0.764702763931907	-1.5904955560379	-4.77519823116978	-0.259060892481411	0.24854933802795	-1.33289237780754	-1.41267482624093	-1.42762901472416
O00116	-0.842627996425981	-0.378149371326383	-0.179705401293585	-0.244193193214693	-0.451499176770052	-2.20046302641324	-1.12145090187269	-1.16308963921062	-0.445351423613434	0.520424667994025	-0.722106805210202	2.24337336516922	-0.363712059868636	-0.128633248068982	-0.510961512363414	0.139567099018034	0.065202156374548	-1.19703365473646
