C5	C8	C9	C10	C12	C13	C16	AD1	AD4	AD5	AD6	AD7	AD10	AD11	AD12	AD14	AD15
A0AVT1	-0.780490360871186	-0.796815304641074	-0.704750386874772	-1.17842373301936	-0.826775983254963	-1.11090350969331	-0.648752999587765	-0.194042536032153	-0.776278790188711	-0.890644210115051	-0.441541819857088	-0.613420040311573	-0.434676895526406	-0.879477391582678	-0.311515016586303	-1.35052124000594	-0.922022516830185
A0FGR8	-0.871957985926763	-0.74858271335996	-0.38839302523674	-0.918145429784503	-0.763136639183224	-0.668683168906819	-0.240679263374133	0.201534718880522	-0.768696101281783	-0.664629107832702	NA	-0.647960745395815	-0.788566210440545	-1.01354101024153	-0.432542049153993	-0.990027185801664	-0.725511864444646
A0MZ66	-0.147099886858561	0.131137795229104	0.112957268396373	-0.691171046564116	-0.202044330983754	0.430169267101735	-0.0130195742271629	0.303419926113436	-0.27098951835592	0.341638876775238	0.307496041774588	0.372136360341222	0.313960725930707	0.440638557884398	0.335163775887467	-0.430507855528238	-0.31659945256357
A5YM72	-0.3096158980005	1.70893156836383	1.77532432482988	-0.708385123528579	-0.539394941796899	-0.355683458147939	0.380276396523611	2.00501549932734	-0.431889992658225	1.77368258625323	0.152436571781926	1.91815227848454	-0.744176298691793	-0.579471665048548	1.8305625490917	-0.789692373091155	-0.747732241578962
A6NCE7	1.21592313210114	0.862444771295796	1.14907163638006	1.10245206126876	1.057363443462	1.18186482030543	1.08724899073618	1.24467444148031	1.11250513031716	1.14586910086237	1.25921338664497	1.25053733234094	1.26727410143513	1.03324734988405	1.1732475603008	1.08190718237315	1.17786180527258
A6NDG6	-0.517135136939522	-0.608429038695684	-0.3763978299768	-0.369134057732708	-0.318306969230165	-0.562707168413484	-0.417636588644232	-0.236923549754947	-0.526009323947347	-0.473960368568423	-0.774912061438333	-0.564826040980045	-0.27233343758432	-0.530231118378668	-0.270214569984823	-0.339338982045647	-0.351385927016001
A6NGN9	-0.99355571321459	-0.957113735253874	-1.0932220410412	-0.834859211207583	-0.874103511511668	-1.34834241959609	-1.08612781844857	-1.5118104732333	-1.13163577660195	-1.30552564809084	-1.15165179892544	-1.37732032746091	-0.827634161298613	NA	NA	-0.905725713457622	-0.765342694778656
A6NHL2	1.68251314186892	0.891150261421884	1.17686762841206	1.75729415649873	1.36194437068333	1.5126930175452	0.938473962848641	0.777225797797449	1.56279374114941	1.26621241158317	1.65081926583456	1.45562974789118	1.06840714875392	1.23310660579765	0.733770259896373	1.57085096108628	1.43012218485668
E9PAV3	-0.0396205992411181	-0.24184489339276	-0.0761480819564039	-0.0760779712496683	-0.0274330863697865	-0.0441956524820123	-0.13222254475981	-0.171019113674855	-0.118599015148121	0.18822744578846	-0.0385333671423307	-0.0549464699131431	-0.0675932204090293	0.177217642773665	-0.163992308989496	-0.288194793731328	0.132897988560984
O00139	-0.00470040409381054	-0.143866101107742	-0.0498016418509385	-0.0475122392248686	0.00745881435314518	0.0454101665419797	0.043642145096644	-0.0954275496988764	-0.100324593823804	-0.000569745345103702	-0.0010040323795256	0.000157567434166335	0.0138867274285814	0.0149563856321354	0.0124758036569047	-0.0230375912308517	-0.0138919276899054
