C1	C2	C3	C4	C5	C6	C7	AD1	AD2	AD3	AD4	AD5	AD6
A0AVT1	-0.730094190901819	-0.485131667840012	-0.683868058750002	-0.762151710948776	-1.03624412376323	-0.497957304978	-0.645704426211002	-1.08900210802356	-0.984960286477883	-0.730834916902068	-0.54948182777705	-0.288577572559149	-0.315825700588286
A0FGR8	-1.21581306524349	-0.850601713115926	-0.732728410981993	-0.855567617695814	-0.807768033326941	-1.20931186781219	-0.683374769720377	-0.676599706614337	-1.07913685546001	-1.96830606817031	-0.695746678457214	-1.0917287107825	-0.922606065161517
A0MZ66	0.140036846894287	-0.202370178477344	-0.192460338179326	-0.130888689829583	-0.290249021341967	-0.0154769585521773	-0.400874401759031	-0.179549567247423	-0.466066008158589	-0.347221175111048	-0.498729459085589	-0.267946566689414	0.305509399253806
A1L0T0	-0.781239449004989	-0.665872966105299	-0.301586165380742	-0.899854903211468	NA	-0.820814557287865	-1.35143613981332	-0.956299330525384	-1.07913685546001	-0.830544807920943	-0.695746678457214	-0.507420541973607	-0.0232379561287131
A1Z1Q3	-2.14739282910987	-1.06354954907874	-1.09538113220399	-1.69134908710553	-1.13080780310256	-2.01678102942613	-1.8867842459704	-1.73161345509396	-1.6102944694315	-1.69911940029335	-1.60094267507313	-2.34153825180653	-1.48063966867882
A5YM72	-0.269456042952181	-0.521286049594585	-0.3285006385893	-0.379919794523789	-0.807768033326941	-0.328767896480988	-1.3719297241632	NA	-0.902588756956886	-0.382193688671117	-1.13858513869892	-1.02980098517904	0.671968738953126
A6NCE7	1.37365892934133	1.32572301418198	1.38951838681005	1.41867572184461	1.41569192853008	1.622600744008	0.8810850331242	1.4088292393497	1.26787757009118	1.39298890909027	0.943465369595118	1.18614971462319	0.196191310985158
A6NDG6	-0.294536769344212	-0.418206542357811	-0.3285006385893	-0.488087101961685	-0.532443437041841	-0.601734324537873	-0.427169282203571	-0.324219854453644	-0.446419375952519	-0.458379753256306	-0.237552337739217	-0.507420541973607	-0.584330289318957
A6NGN9	-0.86619244189014	-1.06354954907874	-1.09538113220399	-1.30320278587094	-0.858089866467978	-0.997442914917981	-0.965875137681721	-0.757849289173741	-1.03036541306946	-1.37980476929532	-1.13858513869892	-1.02980098517904	NA
A6NHL2	1.98258943869284	2.09465702733729	1.6185645979	2.00454555107551	0.43272577466601	1.11342837634705	0	0.270051576416859	1.47484981445017	1.93774129866002	0.0345372461600738	0.457554272387051	-0.705066139691162
E9PAV3	-0.233525110288495	-0.22583550447193	-0.275727437854314	0.0122177961432093	-0.22553016822308	-0.047541020657484	0.0422390919173529	-0.0921131795326629	0.0742322153035336	-0.182773906633366	-0.144019459893537	-0.209416078401936	NA
O00139	-0.294536769344212	0.0126705955732234	-0.0255249826255468	-0.232537813375987	0.202686889512056	0.0444040942364264	0.131850887937226	0.142335854687758	-0.10637832390032	-0.0737030137957785	0.0780339940859711	0.215139301734647	-0.246054513476399
O00142	-1.07782417180873	-1.20239657478296	-0.939526928880905	-1.15559018305883	-0.760919527478129	-0.820814557287865	-0.910106851044431	-0.956299330525384	-1.03036541306946	-1.14909531132117	-0.801315781338668	-0.87098528665708	-1.400272834773
O00154	1.44263816513076	1.46310199720403	1.52641772712997	1.43409692713301	1.48539758990117	1.50260081784553	1.54366029900103	1.49626562706446	1.34856378933451	1.38133392824939	1.28731981208008	1.48346015584209	1.39948495389856
O00170	-0.836651562033736	-0.579469963373849	-0.616761401388106	-0.691100569244385	-0.912441586838213	-0.874700752594755	-0.965875137681721	-0.757849289173741	-0.55110196765008	-0.50012545892791	-0.633445240516939	-0.972832999969999	-0.97026790962086
O00186	-0.730094190901819	-0.820877122950366	-0.732728410981993	-0.980679360250007	-0.807768033326941	-0.497957304978	-0.858473482392865	-0.676599706614337	-0.86497204438583	-0.644462280588624	-0.729160308981437	-0.702742697122592	-0.0232379561287131
O00194	0.0474887956646433	-0.0304858729166063	0.135332655136918	-0.0423723935854311	0.285095038305466	-0.173575209328511	0	0.470926309723153	0.263559614443163	-0.156897098571438	-0.345911031347088	0.0915395429559898	NA
O00217	0.600674994843925	0.554934095057375	0.732622760306722	0.52708856630461	0.527289454005338	0.40247465785137	0.577785161319304	0.786009286880789	0.751838451581063	0.58265930690406	0.497914654020495	0.547066843901437	0.534467086827717
O00231	-0.520703813433953	-0.467762037412925	-0.432427456607853	-0.439628285327841	-0.33709752719078	-0.328767896480988	-0.282500367961346	-0.30160064276736	-0.466066008158589	-0.568276216003434	-0.189190350449886	-0.228396399651489	-0.482249582343476
O00232	-0.730094190901819	-0.579469963373849	-0.401025662953179	-0.488087101961685	-0.637116990553113	-0.530803723994864	-0.683374769720377	-0.802369519716336	-0.763523431204721	-1.4414546280694	-0.801315781338668	-0.354321499618652	-0.828456157130887
O00264	0.600674994843925	0.826065844799451	0.422743239819707	0.564190291339965	0.887604080540819	0.729327281215146	0.920909108288677	0.68729486892655	0.71972899544753	0.693817885049318	0.373052907006101	0.813743615666398	0.696347459871869
O00291	-1.67645121319313	-1.69749704392207	-1.18972938410967	-0.713976512734218	-1.48028243196422	-0.933278381846233	NA	-1.41182978410179	-2.16414103035135	-1.50960538514492	-2.50308813846512	-2.34153825180653	-0.246054513476399
O00299	-0.929531810406859	-1.64563438209349	-1.73332189570416	-1.47722874104496	-0.717095676987154	-1.34133994351787	-1.10698019947	-1.08206914362739	-0.942486627110936	-1.25076828104353	-0.633445240516939	-0.228396399651489	-0.718444651210554
O00330	0.140036846894287	0.0372878480768766	-0.159760428260426	-0.182508111457046	0.265411515044573	-0.116649649732189	0.211239458123764	0.402268391125736	0.11670587467048	-0.0100286340064792	-0.048938212461254	0.245429824821415	-0.705066139691162
O00399	-0.245287547824451	-0.621276899270109	-0.683868058750002	-0.372808697149822	-0.441771080702052	-1.05357691881273	-0.723198844884854	-0.198450041351645	-0.64877914756557	-0.314042931595593	-0.048938212461254	-0.825051939017536	-1.26395476436902
O00408	0.0320332067003866	0.386881852552074	0.465294328233952	0.354632897297966	0.527289454005338	0.0724589055049897	0.504377156914662	0.394200180427465	0.751838451581063	0.340294868089025	0.315949547732098	0.235475538552179	-0.820525358186036
O00410	0.203376215411006	0.225618431536034	0.155414807746937	0.248852426199328	0.245140337913082	0.174270323532373	0.166987659070689	0.118546457562462	-0.0199443536785902	0.0661574305787099	0.0987884180192027	-0.138184692652232	0.0441639483239392
O00429	0.492671354650024	0.960252968906066	1.24239693416939	0.599388506817162	0.755765544441628	0.675441085908254	0.793879911813805	0.786009286880789	0.650389838399953	0.726996128564773	0.438325471413134	0.60899456950489	0.360725851096832
O00442	0.40949288984647	-0.157774111642154	-0.59582907066207	-0.762151710948776	0.294726887814869	0.112463824558369	-0.220064742065532	-0.639302831611279	0.263559614443163	1.27966095852703	-0.576341881242936	-0.781904191279805	-0.482249582343476
O00468	-1.07782417180873	-0.79241779933666	-1.01285944022583	-0.963734925133711	-0.67592949722775	-1.1821987521044	-0.427169282203571	-0.449989667555645	-1.18907737102769	-0.993103508819575	-0.345911031347088	-0.566764889545158	-1.19111065389219
O00483	1.15419339116668	1.1823485969575	1.46604628262101	1.26814571209347	1.03109014072673	1.05218453352501	0.99431711269332	1.01811596180177	0.612773125828898	0.81739889589885	0.81262241795556	0.85689136340413	0.882853193358312
O00487	NA	-0.357374335322411	-0.482525955753226	-0.691100569244385	-1.24994342127827	-0.380579458261205	-0.261060779887543	-0.30160064276736	-0.323212969483067	-0.314042931595593	0.0345372461600738	-0.267946566689414	-0.047321111857613
O00499	1.50512607885875	1.56070038216948	1.37929627448931	1.71402533629742	1.25026425001332	1.622600744008	1.14978828417979	1.28677816382976	1.19214891330272	1.4588254098999	0.943465369595118	0.665962554713938	1.68613352135615
