C1	C2	C3	C4	C5	C6	C7	C8	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9
A0AVT1	-0.122259847629913	0.910431322884007	0.613942503812899	1.03442907216738	1.00922138784529	-1.04939123599968	1.93433239103659	0.887588724654121	0.513762163721811	0.600786315014872	0.34976023494648	0.0961156341652099	0.275237548355485	-0.191847958980897	0.23099617648916	-1.24300564908333	-0.164189007393896
A0FGR8	-0.198743771983178	-0.722599332776837	-0.425347187785042	-0.463689762109612	-0.558942707733518	-0.161065629598402	-0.707868432142915	0.24894956185042	0.479215661416715	-0.994561886112989	-0.646726130713499	0.725590427148569	-0.15027470209098	0.532602025590617	-0.597909107574295	0.520577982535406	-0.0599780587896143
A0JNW5	-1.60494667904272	-1.86160642781634	0.0747609327915616	-0.901243448606404	-0.302341511198009	0.20739570655287	0.302348273781598	-0.710578274028053	0.648982551380323	-0.88413437464604	0.369988318133979	1.23055250051203	0.339435106553399	0.97288842309757	0.449270354212959	-0.757188177982074	-1.21334898533591
A0M8Q6	0.697591036727884	-2.14688153176387	-1.21017921502116	-0.342092960640049	-0.232647384828367	0	-0.230212803614409	0.623609832740834	0.937185899412514	-0.267354902280733	0.618276402218047	-1.5023894014055	-0.972626332891482	1.71368493677027	-3.07840299540839	0.373231393107796	0.470654717964281
A0MZ66	1.46632232141318	2.16726510327094	-0.850694375570083	-0.110484629371914	0.503323175540703	-1.96215234734257	-0.162715452289426	0	-0.874946455354613	-0.0585734184652691	-1.20378981285373	-0.892379577743889	-0.698683727892502	-0.875678655438369	-0.20334266188492	-0.561138496482707	1.69081408611411
A1A4G5	-0.415579049866088	0.572335376453189	0.18167639937742	0.142265223368595	0.715354389308596	0.0526164807269693	0.18484388365012	-1.20276233227341	-1.23398166354257	0.913391945511166	0.0924258548322289	0.250252334799182	1.3729585447227	-0.241059114168838	-0.934477056625414	-0.18249332873934	-0.29698947852999
A1A5C7	-0.919243669248347	-0.795359214904012	0.514714777831479	-0.148073548435459	0.740898775869281	0.455700133018014	1.36972428888005	0.29731441559802	-0.0792148688677105	-0.0289878445124299	0.181363097299772	0.158649783298007	0.674274816830194	-0.443224579771124	-0.417682037530232	-0.209679510784897	-1.40467678071266
A1IGU5	1.41422091453731	0.288525799151328	0.0189669171302477	0.142265223368595	-0.675530230578019	-0.736405652231996	-0.870583884432341	-0.950738076827541	0.747422934589591	-1.21097003418085	0.137314016255936	0	-0.731283763776938	0.934523945735422	-1.52888669705887	0.0986282233127225	1.36489507700918
A1L0T0	0.0237170559719561	-0.616928535975806	-0.735134180134087	-0.382174011872524	-0.715354389308596	-0.161065629598402	-1.04209894245444	-0.59460842142139	0.0776461540450424	-0.732957891334322	-0.555493167438998	1.40401632099281	-1.00914831748059	0.615783354216297	0	0.262433853665341	0.133228495778348
A1L390	-0.359493063142556	0.725362667292062	0.543596534070563	0.142265223368595	2.96299246905529	-1.11427441424794	1.70189422371639	0.930287332547621	-0.201121143064779	1.33751516647227	-0.120875583327681	0.673142910492947	2.12622133821109	1.90553289575117	1.60739050530125	-1.36982398290417	-0.29698947852999
A1X283	1.943458282904	2.0904624992356	-0.626181129768578	-0.186056075901452	0.611091425831166	-1.45119807730206	-0.162715452289426	-0.652263880825106	-0.826237721558382	-0.151176483311718	-0.274618606301836	-1.02333723036854	-0.603429707219629	-1.54384506455799	0.413715741282803	0.146528668670044	1.13542515117849
A1Z1Q3	1.20802228793408	1.13936612574611	-0.573954316354198	0.0360928174835839	0.305545712915584	-0.215863142603703	-1.31812129060429	-1.33360165152231	-0.924267893683219	-0.88413437464604	-0.709571380972281	-1.02333723036854	-0.901189823857087	-2.24658774781835	0.117180337151134	1.01962203164741	0.619902440705547
A2A3K4	0.2913111612925	-0.75873992521613	0.883950974710704	-0.342092960640049	1.16897418858841	0.15630436529247	0.443360636862159	-0.889630114506219	-0.874946455354613	0.492999515876479	-0.248288084084068	1.5079125564664	1.28871890214618	0.0467627975506625	-0.161831154116999	-0.499044049112009	-0.566482639539894
A2RRP1	-1.46870705843969	-1.80792093608368	1.17264191598492	-0.422702905346348	-0.130867295014393	0.599272192478922	0.682388328628567	-0.425450812989167	0.648982551380323	0.778153738045126	0.672040495874866	1.44597400684757	0.58049226921511	1.44506197597058	0.97863055900536	-1.41355895216085	-1.52908408440307
A2RTX5	0.550865061951035	0.313321624123763	-0.287492475692859	0.411076939530896	0.740898775869281	0	0.214630542240627	1.01462733321163	-0.683640092500757	-0.0887818921461252	-0.439096313154025	-0.0326804312380069	-0.972626332891482	0.184322541234451	0.622411966126651	0.170141023816496	0.704306533807469
